"","dspid","stromal_cluster"
"148","DSP_1001660003734_E_G01",NA
"149","DSP_1001660003734_E_G02",NA
"150","DSP_1001660003734_E_G03","SC3"
"151","DSP_1001660003734_E_G04","SC2"
"152","DSP_1001660003734_E_G05",NA
"153","DSP_1001660003734_E_G06","SC2"
"154","DSP_1001660003734_E_G07",NA
"155","DSP_1001660003734_E_G10","SC3"
"156","DSP_1001660003734_E_G11","SC1"
"157","DSP_1001660003734_E_H01","SC1"
"158","DSP_1001660003734_E_H02",NA
"159","DSP_1001660003734_E_H03","SC3"
"160","DSP_1001660003734_E_H04",NA
"161","DSP_1001660003734_E_H05",NA
"162","DSP_1001660003734_E_H06","SC3"
"163","DSP_1001660003734_E_H07",NA
"164","DSP_1001660003735_F_B11",NA
"165","DSP_1001660003735_F_B12","SC1"
"166","DSP_1001660003735_F_C01",NA
"167","DSP_1001660003735_F_C02",NA
"168","DSP_1001660003735_F_C03",NA
"169","DSP_1001660003735_F_C04","SC3"
"170","DSP_1001660003735_F_C06",NA
"171","DSP_1001660003735_F_C07",NA
"172","DSP_1001660003735_F_C08",NA
"173","DSP_1001660003735_F_C09",NA
"174","DSP_1001660003735_F_C10",NA
"175","DSP_1001660003735_F_D01","SC1"
"176","DSP_1001660003735_F_D02","SC3"
"177","DSP_1001660003735_F_D03","SC2"
"178","DSP_1001660003735_F_D04",NA
"179","DSP_1001660003735_F_D05",NA
"180","DSP_1001660003735_F_D06",NA
"181","DSP_1001660003735_F_D07",NA
"182","DSP_1001660003735_F_D08","SC3"
"183","DSP_1001660003735_F_D11",NA
"184","DSP_1001660003735_F_D12",NA
"185","DSP_1001660003735_F_E01","SC3"
"186","DSP_1001660003735_F_E04",NA
"187","DSP_1001660003735_F_E05",NA
"188","DSP_1001660003735_F_E06",NA
"189","DSP_1001660003735_F_E09","SC3"
"190","DSP_1001660003735_F_E10",NA
"191","DSP_1001660003735_F_F01",NA
"192","DSP_1001660003735_F_F02",NA
"193","DSP_1001660003735_F_F03",NA
"194","DSP_1001660003735_F_F04","SC3"
"195","DSP_1001660003735_F_F05","SC1"
"196","DSP_1001660009493_H_A02",NA
"197","DSP_1001660009493_H_A03",NA
"198","DSP_1001660009493_H_A05",NA
"199","DSP_1001660009493_H_A07",NA
"200","DSP_1001660009493_H_A08",NA
"201","DSP_1001660009493_H_A09",NA
"202","DSP_1001660009493_H_A10",NA
"203","DSP_1001660009493_H_A11","SC1"
"204","DSP_1001660009493_H_A12",NA
"205","DSP_1001660009493_H_B01",NA
"206","DSP_1001660009493_H_B02",NA
"207","DSP_1001660009493_H_B04",NA
"208","DSP_1001660009493_H_B05",NA
"209","DSP_1001660009493_H_B07",NA
"210","DSP_1001660009493_H_B08",NA
"211","DSP_1001660009493_H_B09",NA
"212","DSP_1001660009493_H_B10",NA
"213","DSP_1001660009493_H_B11",NA
"214","DSP_1001660009493_H_B12",NA
"215","DSP_1001660009493_H_C02","SC1"
"216","DSP_1001660009493_H_C03",NA
"217","DSP_1001660009493_H_C04",NA
"218","DSP_1001660009493_H_C05","SC1"
"219","DSP_1001660009493_H_C06",NA
"220","DSP_1001660009493_H_C09",NA
"221","DSP_1001660009493_H_C10","SC2"
"222","DSP_1001660009493_H_C11",NA
"223","DSP_1001660009493_H_C12","SC2"
"224","DSP_1001660009493_H_D02","SC1"
"225","DSP_1001660009493_H_D03","SC1"
"226","DSP_1001660009493_H_D04",NA
"227","DSP_1001660009493_H_D05",NA
"228","DSP_1001660009493_H_D06",NA
"229","DSP_1001660009493_H_D08",NA
"230","DSP_1001660009493_H_D09","SC1"
"231","DSP_1001660009493_H_D10",NA
"232","DSP_1001660009493_H_D11",NA
"233","DSP_1001660009493_H_D12",NA
"234","DSP_1001660009493_H_E02","SC2"
"235","DSP_1001660009493_H_E03","SC2"
"236","DSP_1001660009493_H_E04",NA
"237","DSP_1001660009493_H_E06",NA
"238","DSP_1001660009493_H_E07","SC1"
"239","DSP_1001660009493_H_E08","SC2"
"240","DSP_1001660009493_H_E09","SC2"
"241","DSP_1001660009493_H_E10","SC1"
"242","DSP_1001660009493_H_F01",NA
"243","DSP_1001660009493_H_F02",NA
"244","DSP_1001660009493_H_F03",NA
"245","DSP_1001660009493_H_F04",NA
"246","DSP_1001660009493_H_F05","SC2"
"247","DSP_1001660009493_H_F06",NA
"248","DSP_1001660009493_H_F07",NA
"249","DSP_1001660009493_H_F08","SC1"
"250","DSP_1001660009493_H_F09","SC1"
"251","DSP_1001660009493_H_F10",NA
"252","DSP_1001660009493_H_F11",NA
"253","DSP_1001660009493_H_G01","SC2"
"254","DSP_1001660009493_H_G03",NA
"255","DSP_1001660009493_H_G04",NA
"256","DSP_1001660009493_H_G05","SC1"
"257","DSP_1001660009493_H_G06","SC1"
"258","DSP_1001660009493_H_G07",NA
"259","DSP_1001660009493_H_G09","SC1"
"260","DSP_1001660009493_H_G10",NA
"261","DSP_1001660009493_H_G11","SC1"
"262","DSP_1001660009493_H_G12","SC1"
"263","DSP_1001660009493_H_H01",NA
"264","DSP_1001660009493_H_H02","SC2"
"265","DSP_1001660009493_H_H03",NA
"266","DSP_1001660009493_H_H04","SC2"
"267","DSP_1001660009493_H_H05","SC2"
"268","DSP_1001660009494_D_A03","SC1"
"269","DSP_1001660009494_D_A04",NA
"270","DSP_1001660009494_D_A05","SC1"
"271","DSP_1001660009494_D_A08","SC2"
"272","DSP_1001660009494_D_A09",NA
"273","DSP_1001660009494_D_A10",NA
"274","DSP_1001660009494_D_A12","SC1"
